24 	 60
25 	 284
26 	 413
27 	 527
28 	 609
29 	 731
30 	 805
31 	 847
32 	 958
33 	 1023
34 	 1121
35 	 6634
36 	 6619
37 	 6667
38 	 6754
39 	 6932
40 	 7298
41 	 7679
42 	 7906
43 	 7669
44 	 7470
45 	 7542
46 	 7804
47 	 8269
48 	 8829
49 	 9430
50 	 10042
51 	 10615
52 	 11201
53 	 11499
54 	 11242
55 	 10948
56 	 10817
57 	 10736
58 	 10672
59 	 10558
60 	 10414
61 	 10141
62 	 9870
63 	 9502
64 	 9011
65 	 8577
66 	 8345
67 	 8253
68 	 8202
69 	 8166
70 	 8078
71 	 8089
72 	 8272
73 	 8432
74 	 8151
75 	 7682
76 	 7372
77 	 7180
78 	 7201
79 	 7375
80 	 7561
81 	 7786
82 	 8313
83 	 9102
84 	 8999
85 	 8061
86 	 7180
87 	 6722
88 	 6610
89 	 6747
90 	 7127
91 	 7413
92 	 7844
93 	 8574
94 	 9191
95 	 9153
96 	 8356
97 	 7609
98 	 7389
99 	 7553
100 	 7909
101 	 8269
102 	 8560
103 	 8780
104 	 8884
105 	 8815
106 	 8653
107 	 8413
108 	 8282
109 	 8307
110 	 8431
111 	 8637
112 	 8879
113 	 9256
114 	 9685
115 	 9649
116 	 9161
117 	 8670
118 	 8570
119 	 8837
120 	 9430
121 	 10261
122 	 11302
123 	 12940
124 	 15409
125 	 17650
126 	 17891
127 	 15947
128 	 13665
129 	 12676
130 	 13751
131 	 15398
132 	 17680
133 	 20239
134 	 23339
135 	 27163
136 	 30734
137 	 32096
138 	 31075
139 	 29798
140 	 30860
141 	 34458
142 	 39191
143 	 44350
144 	 48443
145 	 50034
146 	 49642
147 	 48904
148 	 48689
149 	 48831
150 	 49429
151 	 50897
152 	 52929
153 	 54985
154 	 56986
155 	 59273
156 	 61234
157 	 62356
158 	 63619
159 	 65889
160 	 69159
161 	 72952
162 	 77126
163 	 81618
164 	 86348
165 	 90491
166 	 92766
167 	 92626
168 	 89663
169 	 84511
170 	 78434
171 	 72338
172 	 65539
173 	 62900
174 	 59650
175 	 58162
176 	 54132
177 	 52362
178 	 47911
179 	 43039
180 	 39484
181 	 34368
182 	 31684
183 	 29426
184 	 27533
185 	 24469
186 	 23305
187 	 22611
188 	 21080
189 	 19841
190 	 18276
191 	 16159
192 	 14851
193 	 14260
194 	 13356
195 	 12706
196 	 11940
197 	 11104
198 	 10288
199 	 9583
200 	 8663
201 	 8290
202 	 7905
203 	 7229
204 	 7199
205 	 6505
206 	 6479
207 	 5906
208 	 6012
209 	 5339
210 	 5324
211 	 4786
212 	 4423
213 	 4299
214 	 3966
215 	 3765
216 	 3698
217 	 3485
218 	 3257
219 	 3127
220 	 2961
221 	 2811
222 	 2670
223 	 2523
224 	 2384
225 	 2241
226 	 2110
227 	 1985
228 	 1884
229 	 1793
230 	 1725
231 	 1680
232 	 1643
233 	 1596
234 	 1530
235 	 1448
236 	 1368
237 	 1296
238 	 1236
239 	 1190
240 	 1160
241 	 1146
242 	 1147
243 	 1152
244 	 1148
245 	 1120
246 	 1080
247 	 1036
248 	 996
249 	 960
250 	 936
251 	 924
252 	 926
253 	 937
254 	 951
255 	 958
256 	 945
257 	 927
258 	 904
259 	 881
260 	 859
261 	 847
262 	 852
263 	 871
